task_id,external_ref,theme_id,theme_title,status,session_count
87b5009f-338f-482b-9f87-04f15fb69c82,qcpl-001-micro-monitoring,micro-monitoring-plan,Microbiological Monitoring Plan (QCPL 001),completed,1
0c65e3e7-a232-479f-9604-f85f5d41c59b,qcsop-014-water-sampling,qc-water-testing-sop,QC Water Testing & Sampling SOP (PP-QC-SOP-002),completed,1
11ebe496-fc2d-461f-ba4c-9bfc4598af55,qms-dc-sop-memorandum-v2,qa-qms-general-sops,QA/QMS General SOPs,postponed,1
ea621865-b13d-4705-9262-bc28137dc7be,pp-qc-wr-001,qc-weekly-plans-reports,QC Weekly Plans & Reports (SUMA cadence),pending,2
6dd8148b-c58e-441b-861b-4a81b5726e82,pp-lo-sop-001,material-logistics-warehouse,Material Logistics & Warehouse Control,completed,4
1128a401-3ef3-41b2-a7f4-0b366e6039be,pp-qc-wr-002,qc-weekly-plans-reports,QC Weekly Plans & Reports (SUMA cadence),completed,2
d419719d-251f-4f0c-8ea7-9ae772c37e0e,pp-qc-wr-003,qc-weekly-plans-reports,QC Weekly Plans & Reports (SUMA cadence),completed,2
fb65f517-25f3-47da-9a07-4a7fd30daaf3,pp-qc-wr-004,qc-weekly-plans-reports,QC Weekly Plans & Reports (SUMA cadence),completed,2
041e9b3a-2db0-4371-af3e-1a18b1dabf3f,mvr-001-25-hma-method-comparison,lod-hma-validation,LoD / HMA Method Validation (SAM a02.1/a02.2),completed,1
f40bfed8-039c-43e6-9695-dee49d407a7e,qc-sop-016-a03-stp-a08,lod-hma-validation,LoD / HMA Method Validation (SAM a02.1/a02.2),completed,2
b58eb335-6d00-4bd3-baa4-f63a67e761b7,skill-equipment-sop-generator,equipment-sop-templates,Equipment SOP Templates & Authoring Tooling,completed,1
2df593b8-e070-4abc-bd42-a985a869db14,qasop-031-labeling,labeling-qasop-031,Labeling & Label Control (QASOP 031),ongoing,2
7fb35b96-1ef8-460a-92b9-114c00d4d49b,pp-qc-sop-018,analytical-methods-lifecycle,Analytical Methods Lifecycle & Governance (QCSOP 009 / PP-QC-SOP-018),ongoing,2
4adffd73-576d-4f89-85fb-fbb5c2df238b,qasop-008-a04-supplier-qualification-report,supplier-procurement-qualification,Supplier & Procurement Qualification (QASOP 008/009),completed,1
c8cc1275-a35b-4ff4-b771-e5847c5c75eb,pp-qc-wr-005,qc-weekly-plans-reports,QC Weekly Plans & Reports (SUMA cadence),completed,2
38026e74-f324-4f82-9cc3-6aa0a61a0c5e,pp-qc-sop-001,qc-lab-operations-sops,QC Lab Operations SOPs,ongoing,5
022c9f89-eca4-4c63-89f0-9ddaddd37030,qcsop-004-lab-waste-management,qc-lab-operations-sops,QC Lab Operations SOPs,completed,2
a739f3cf-d7db-4354-96c6-85086c1ee144,pp-qc-sop-012-sample-transport,sample-transport-sop,Sample Transport to Outsourced Labs SOP (PP-QC-SOP-012),ongoing,2
12138151-d9ae-4a31-9b56-b2ebd5c44f46,pp-qc-sop-017-a01-sampling-plan,sampling-sop,QC Sampling SOP Authoring (PP-QC-SOP-017 / 008 / QCSOP 011),ongoing,2
801a17f2-7691-4cd4-926d-cabd15fa6f10,pp-qc-wr-006,qc-weekly-plans-reports,QC Weekly Plans & Reports (SUMA cadence),completed,2
76795509-2eeb-485c-8202-4de3a9dcd3f5,pp-qc-sop-009-annexes,coa-coq-document-suite,CoA/CoQ Document Suite & Issuance (VariationF),completed,1
a3ba3056-7355-4e31-a729-b5b3429084f4,qasop-009-annexes,supplier-procurement-qualification,Supplier & Procurement Qualification (QASOP 008/009),completed,1
6d1ee578-f563-4768-9308-73c722193f47,qasop-008-annexes,supplier-procurement-qualification,Supplier & Procurement Qualification (QASOP 008/009),completed,1
3a2d3603-d960-486c-ba6d-e613eaa0287e,qa-sop-008-sample-logbooks,sample-management-logbooks,QC Sample-Management Logbooks (QA_SOP_008),completed,2
98cfaee6-76c2-4752-aab3-e8cf679c3909,pp-qc-sop-003-axx,stability-study,Stability Studies (QCSOP 018),ongoing,1
85e41b6b-daee-4595-96af-b2f4b3954d1c,pp-qc-sop-003-ayy,stability-study,Stability Studies (QCSOP 018),ongoing,1
2fbf463e-a184-4d92-b848-1787fd3f9b08,qasop-031-a10,labeling-qasop-031,Labeling & Label Control (QASOP 031),completed,1
cc84b9ae-739a-4121-91d3-cae46aac9094,qasop-031-a09,labeling-qasop-031,Labeling & Label Control (QASOP 031),completed,2
4bcfb24b-e0fc-4448-bc51-2182fa7f4a85,kn-air-logistics-sop,clone-import-logistics-sop,Cannabis Clone Import Air-Logistics SOP,review,1
f6335a9b-b1a1-483e-9d81-bf874edf03f5,qasop-003,qa-qms-general-sops,QA/QMS General SOPs,completed,1
7eaf7bc9-baef-43c8-b149-5c7e74546432,sop-qc-water-annexes,qc-water-testing-sop,QC Water Testing & Sampling SOP (PP-QC-SOP-002),completed,2
e156136b-2c1f-4524-8773-67e7af296fd9,pp-sop-header-template,equipment-sop-templates,Equipment SOP Templates & Authoring Tooling,ongoing,2
ebc278ce-e0ea-4a91-9102-ecf80f6fc4de,pp-qc-wr-007,qc-weekly-plans-reports,QC Weekly Plans & Reports (SUMA cadence),completed,2
e34a75a7-f9ef-440a-bea7-926cb4a9bbfe,pp-qc-sop-002-a06,qc-water-testing-sop,QC Water Testing & Sampling SOP (PP-QC-SOP-002),ongoing,2
468313b2-3098-488f-95ea-f373e71356b2,qasop-013,qualification-validation-framework,Qualification & Validation Framework SOPs,completed,2
d4f8a2a2-c879-453e-af8d-07a3da4c1132,eqp-ro01-pq,ro-water-qualification,RO Water System Qualification (PP/S/002),ongoing,2
b0d1d35a-f741-4e32-95e1-ee5ec4fc4595,pp-pq-template,equipment-sop-templates,Equipment SOP Templates & Authoring Tooling,ongoing,1
335bd90c-cb36-4c23-8166-ab67b08d0fa1,qasop-031-dev-001,labeling-qasop-031,Labeling & Label Control (QASOP 031),completed,1
834b9847-c57f-47ea-b26a-1b9ed0e1b19b,qasop-031-a05,labeling-qasop-031,Labeling & Label Control (QASOP 031),ongoing,3
e33d4805-d3cc-44c3-8e79-676ceec5b74f,qasop-031-a09-sl-label,labeling-qasop-031,Labeling & Label Control (QASOP 031),ongoing,1
3025a588-7091-486d-9f5a-197937cc6a79,qa-sop-008-a03,sample-management-logbooks,QC Sample-Management Logbooks (QA_SOP_008),ongoing,1
c4259850-1cf1-419b-9584-83e181511a44,qa-sop-008-a05,sample-management-logbooks,QC Sample-Management Logbooks (QA_SOP_008),ongoing,1
40257a39-7b2c-4217-b84f-ff77c1fe3292,qa-sop-008-a04,sample-management-logbooks,QC Sample-Management Logbooks (QA_SOP_008),ongoing,1
f2610469-ff57-4912-a0b8-ae4d836095d8,qasop-031-a06-inspected-label,labeling-qasop-031,Labeling & Label Control (QASOP 031),ongoing,2
1e0daadf-28c6-46a9-83e4-7295d3d637b1,qasop-031-a05-storage-label,labeling-qasop-031,Labeling & Label Control (QASOP 031),ongoing,2
a3053cd8-e2ca-4bd7-b4f9-1ab5a53eb45c,qasop-031-a01-quarantine-label,labeling-qasop-031,Labeling & Label Control (QASOP 031),ongoing,2
069619cb-cc3b-48e5-8a67-066fa5000fb9,capa-cm-03-26,gmp-compliance-remediation,GMP Compliance & Remediation Programme,ongoing,1
23005bdf-097a-4ccd-8363-99b3214684a1,qasop-031,labeling-qasop-031,Labeling & Label Control (QASOP 031),ongoing,4
5cabefc4-079f-40db-9cb3-54aa8fd5840c,eqsop-equipment-template,equipment-sop-templates,Equipment SOP Templates & Authoring Tooling,ongoing,2
86bb7900-2050-410b-9e7d-1b3732b55e05,qasop-031-a07,labeling-qasop-031,Labeling & Label Control (QASOP 031),ongoing,2
edac6452-0759-474d-abb6-462d6f6cd598,qasop-031-a06,labeling-qasop-031,Labeling & Label Control (QASOP 031),ongoing,2
2f918c26-4aff-4d6d-afd2-1214d244527b,pp-balance-periodic-check-sops,equipment-instrument-sops,Instrument Equipment SOPs,ongoing,1
7c7e07d9-9f07-451b-88dd-e1a19728ab94,whsop-001,material-logistics-warehouse,Material Logistics & Warehouse Control,completed,1
0defc306-43de-4510-8b45-2612e8309b36,eqsop-013,equipment-instrument-sops,Instrument Equipment SOPs,ongoing,1
aa17996b-b5c0-455b-b679-56548d9f130f,pp-qc-sop-012,sample-transport-sop,Sample Transport to Outsourced Labs SOP (PP-QC-SOP-012),ongoing,2
f4dc2bed-6355-4555-ac77-3f652d4a327a,pp-qc-sop-015-a01,analytical-methods-lifecycle,Analytical Methods Lifecycle & Governance (QCSOP 009 / PP-QC-SOP-018),ongoing,2
3e5afd26-97c2-4e72-9b9a-b98e9712448f,eqp-pps002-rc,ro-water-qualification,RO Water System Qualification (PP/S/002),ongoing,1
b0f7b5cc-66a3-49c2-b681-ffe50555b3a5,eqp-pps002-urs,ro-water-qualification,RO Water System Qualification (PP/S/002),ongoing,1
081953f9-d512-495f-9cf5-ce3748b51023,ost-001-coco-perlite-26-100-00021,substrate-pathogen-test-request,Substrate Pathogen Testing (External Lab Request),completed,1
96ad26c4-395a-415a-8f84-c87b87a5dd5f,qcsp-img-001,material-product-specifications,Material & Product Specifications (IMG / QCSOP 010),completed,1
d30debac-1f7f-4742-b264-b7dce7f3eb73,qcsp-img-xxx-000,material-product-specifications,Material & Product Specifications (IMG / QCSOP 010),completed,2
7ff91526-f6ae-4af6-b26b-18297cf08b24,pp-ecoa-coq-system-urs,qc-lims-coa-systems,QC LIMS & CoA/eCoA Systems,ongoing,1
7b71123a-2a52-4950-864c-ba5ffd13d601,icoa-pp-2026-0011,coa-coq-document-suite,CoA/CoQ Document Suite & Issuance (VariationF),completed,1
0a1b84e2-c271-438d-b12c-083b2a9a2e29,variationf-design-system,coa-coq-document-suite,CoA/CoQ Document Suite & Issuance (VariationF),ongoing,1
f230159a-ec3a-4fc6-82f4-e160c911091b,coq-template-v02-variationf,coa-coq-document-suite,CoA/CoQ Document Suite & Issuance (VariationF),ongoing,1
8f2b97d2-6d68-497e-9ab6-9366275ef8a5,icoa-pp-2026-0012,coa-coq-document-suite,CoA/CoQ Document Suite & Issuance (VariationF),completed,1
a5e4483b-fedb-47b2-bbd6-2414a95e0999,coq-cbiii-001-p0501242,coa-coq-document-suite,CoA/CoQ Document Suite & Issuance (VariationF),completed,2
7166b120-380c-4726-b313-8726a9e85bd7,pp-qc-mvp-003-26,hplc-cannabinoid-validation,HPLC-DAD Cannabinoid Assay Validation (MVP-003),ongoing,4
d914c6d9-7669-439e-86d8-3df7ea683f85,qcsp-img-register-v01,material-product-specifications,Material & Product Specifications (IMG / QCSOP 010),completed,1
bc6fe51c-22ac-419d-8203-bbfe667d3c3d,pp-qc-html-template-pack-variationf,coa-coq-document-suite,CoA/CoQ Document Suite & Issuance (VariationF),completed,3
72032bc7-5948-455d-9079-424125cd5335,pp-memo-glp-printer-relocation,glp-printer-relocation,GLP Printer Relocation Memo,completed,1
ec836089-7eb8-4c25-9e18-a4d0147cbe6d,pp-qc-wr-008,qc-weekly-plans-reports,QC Weekly Plans & Reports (SUMA cadence),completed,2
bb0d82c3-cf5f-46f3-9600-c04dcaa6a485,qa-sop-008-a14-rsa-logbook,sample-management-logbooks,QC Sample-Management Logbooks (QA_SOP_008),completed,1
c78578e0-032f-4c85-a4f1-a247ce0f621a,rsa-inpcr-9118-1,sample-management-logbooks,QC Sample-Management Logbooks (QA_SOP_008),completed,1
aa4e9354-6d0f-45ea-af23-b1ed5d02049e,pp-gmp-gap-analysis-2026,gmp-compliance-remediation,GMP Compliance & Remediation Programme,completed,1
5df2a445-7684-4c1d-abea-43b80344d582,qa-sop-008-a13-mll-logbook,sample-management-logbooks,QC Sample-Management Logbooks (QA_SOP_008),completed,2
f30c23e4-5265-4900-bdfc-8beaa06c5a10,pp-qc-amsf-a02.1,lod-hma-validation,LoD / HMA Method Validation (SAM a02.1/a02.2),ongoing,2
987dedd6-8ddc-4ee2-bfd7-7f98ce56270d,pp-qc-wr-009,qc-weekly-plans-reports,QC Weekly Plans & Reports (SUMA cadence),completed,2
a1b377e2-28e9-41cf-84aa-b3bb1ade3b75,pp-qc-mvr-003-26,hplc-cannabinoid-validation,HPLC-DAD Cannabinoid Assay Validation (MVP-003),completed,1
ac4bce81-b923-4bad-a1a4-34ef84223ba9,pp-qc-mvp-a02.1,lod-hma-validation,LoD / HMA Method Validation (SAM a02.1/a02.2),completed,2
120fc929-81d8-49a4-9962-aedd9b459023,pp-qc-mvp-a02.2,lod-hma-validation,LoD / HMA Method Validation (SAM a02.1/a02.2),completed,1
a1fba366-5fec-47e2-b15b-d06577c772c4,pp-qc-mvr-a02.2,lod-hma-validation,LoD / HMA Method Validation (SAM a02.1/a02.2),completed,1
d674b03d-92b7-44a9-afdc-42e82a9cf0bc,pp-qc-amsf-a02.2,lod-hma-validation,LoD / HMA Method Validation (SAM a02.1/a02.2),ongoing,2
cf446baa-8b3f-40f4-9608-81c313b22de5,pp-lod-a02.2-handover-cowork,lod-hma-validation,LoD / HMA Method Validation (SAM a02.1/a02.2),completed,1
01d3d58d-f8c7-4aec-8917-d30d20c20f04,pp-document-suite-skills,suma-tooling-automation,SUMA Tooling & Automation,completed,1
0f786d52-ef66-48dc-adb2-ddb1f22220c8,qcsop-009-analytical-methods-lifecycle,analytical-methods-lifecycle,Analytical Methods Lifecycle & Governance (QCSOP 009 / PP-QC-SOP-018),ongoing,1
ebe3b456-885d-4a8d-91b9-21d1b994dcf8,qcsop009-a03-outsourced-correlation-matrix,analytical-methods-lifecycle,Analytical Methods Lifecycle & Governance (QCSOP 009 / PP-QC-SOP-018),completed,1
795b5f08-dd23-4534-af20-96b5adfcc8a2,pp-qc-amv-a02.2-lod,lod-hma-validation,LoD / HMA Method Validation (SAM a02.1/a02.2),review,1
3f90bad6-1dda-4e55-8ac4-011e5631fb2f,pp-qc-amv-a02.1-sam,lod-hma-validation,LoD / HMA Method Validation (SAM a02.1/a02.2),review,2
119b6600-a67c-4726-b559-bb5106de8c20,pp-qc-amvp-a04-foreign-matter,foreign-matter-verification,Foreign Matter Verification Method (Ph.Eur. 2.8.2),ongoing,1
a4844c26-bed5-47b2-8b41-064c36ef6bbc,qcsop009-a03-outsourced-matrix,analytical-methods-lifecycle,Analytical Methods Lifecycle & Governance (QCSOP 009 / PP-QC-SOP-018),review,1
71e39adb-fcf4-4b32-ba2e-92adc0bc7d0e,pp-qc-mvp-003-hplc,hplc-cannabinoid-validation,HPLC-DAD Cannabinoid Assay Validation (MVP-003),review,2
